Unnamed: 0,scenario_id,faithfulness_score,context_precision_score,context_recall_score,cwe_f1,asvs_f1,batch
0,WEB_APP_COMPREHENSIVE,1.0,1.0,0.764,1.0,1.0,batch1
1,FILE_UPLOAD_COMPREHENSIVE,1.0,1.0,0.333,1.0,1.0,batch1
2,API_COMPREHENSIVE,1.0,1.0,0.545,1.0,1.0,batch1
3,MOBILE_APP_COMPREHENSIVE,0.961,1.0,0.364,1.0,1.0,batch1
4,IOT_SYSTEM_COMPREHENSIVE,0.985,0.953,0.364,1.0,1.0,batch1
5,ECOMMERCE_COMPREHENSIVE,1.0,0.88,0.583,0.966,1.0,batch1
6,HEALTHCARE_COMPREHENSIVE,1.0,1.0,0.417,0.868,0.919,batch1
7,FINTECH_COMPREHENSIVE,0.963,0.807,0.25,1.0,1.0,batch1
8,WEB_APP_COMPREHENSIVE,0.976,1.0,0.764,1.0,1.0,batch1
9,FILE_UPLOAD_COMPREHENSIVE,1.0,1.0,0.333,0.966,0.947,batch1
10,API_COMPREHENSIVE,1.0,1.0,0.545,1.0,1.0,batch1
11,MOBILE_APP_COMPREHENSIVE,1.0,1.0,0.364,1.0,1.0,batch1
12,IOT_SYSTEM_COMPREHENSIVE,1.0,0.953,0.364,1.0,1.0,batch1
13,ECOMMERCE_COMPREHENSIVE,1.0,0.88,0.583,1.0,1.0,batch1
14,HEALTHCARE_COMPREHENSIVE,1.0,1.0,0.417,0.919,0.978,batch1
15,FINTECH_COMPREHENSIVE,0.978,0.807,0.25,1.0,1.0,batch1
16,WEB_APP_COMPREHENSIVE,1.0,1.0,0.764,1.0,1.0,batch1
17,FILE_UPLOAD_COMPREHENSIVE,1.0,1.0,0.333,0.966,0.868,batch1
18,API_COMPREHENSIVE,0.949,1.0,0.545,1.0,1.0,batch1
19,MOBILE_APP_COMPREHENSIVE,0.979,1.0,0.364,1.0,1.0,batch1
20,IOT_SYSTEM_COMPREHENSIVE,0.984,0.953,0.364,1.0,1.0,batch1
21,ECOMMERCE_COMPREHENSIVE,1.0,0.88,0.583,1.0,1.0,batch1
22,HEALTHCARE_COMPREHENSIVE,1.0,1.0,0.417,0.919,0.978,batch1
23,FINTECH_COMPREHENSIVE,0.981,0.807,0.25,1.0,1.0,batch1
0,WEB_APP_COMPREHENSIVE,0.93,1.0,0.764,1.0,1.0,batch2
1,FILE_UPLOAD_COMPREHENSIVE,0.943,1.0,0.333,0.966,0.947,batch2
2,API_COMPREHENSIVE,0.875,1.0,0.545,1.0,1.0,batch2
3,MOBILE_APP_COMPREHENSIVE,0.82,1.0,0.364,1.0,1.0,batch2
4,IOT_SYSTEM_COMPREHENSIVE,0.883,0.953,0.364,1.0,1.0,batch2
5,ECOMMERCE_COMPREHENSIVE,0.977,0.88,0.583,1.0,1.0,batch2
6,HEALTHCARE_COMPREHENSIVE,0.83,1.0,0.417,0.919,1.0,batch2
7,FINTECH_COMPREHENSIVE,0.759,0.807,0.25,1.0,1.0,batch2
8,WEB_APP_COMPREHENSIVE,0.932,1.0,0.764,1.0,1.0,batch2
9,FILE_UPLOAD_COMPREHENSIVE,0.971,1.0,0.333,1.0,1.0,batch2
10,API_COMPREHENSIVE,0.942,1.0,0.545,1.0,1.0,batch2
11,MOBILE_APP_COMPREHENSIVE,0.932,1.0,0.364,1.0,1.0,batch2
12,IOT_SYSTEM_COMPREHENSIVE,0.93,0.953,0.364,1.0,1.0,batch2
13,ECOMMERCE_COMPREHENSIVE,0.952,0.88,0.583,1.0,1.0,batch2
14,HEALTHCARE_COMPREHENSIVE,0.925,1.0,0.417,0.868,0.978,batch2
15,FINTECH_COMPREHENSIVE,0.913,0.807,0.25,1.0,1.0,batch2
16,WEB_APP_COMPREHENSIVE,0.955,1.0,0.764,1.0,1.0,batch2
17,FILE_UPLOAD_COMPREHENSIVE,0.957,1.0,0.333,0.966,0.868,batch2
18,API_COMPREHENSIVE,0.945,1.0,0.545,1.0,1.0,batch2
19,MOBILE_APP_COMPREHENSIVE,0.886,1.0,0.364,1.0,1.0,batch2
20,IOT_SYSTEM_COMPREHENSIVE,0.873,0.953,0.364,1.0,1.0,batch2
21,ECOMMERCE_COMPREHENSIVE,0.96,0.88,0.583,1.0,1.0,batch2
22,HEALTHCARE_COMPREHENSIVE,0.932,1.0,0.417,0.919,0.919,batch2
23,FINTECH_COMPREHENSIVE,0.887,0.807,0.25,1.0,1.0,batch2
